index	volume-mm3	name
2	225731.1	Left-Cerebral-White-Matter
4	3979.0	Left-Lateral-Ventricle
5	454.0	Left-Inf-Lat-Vent
7	14732.0	Left-Cerebellum-White-Matter
8	54333.0	Left-Cerebellum-Cortex
10	8528.0	Left-Thalamus
11	3608.0	Left-Caudate
12	5367.0	Left-Putamen
13	2076.0	Left-Pallidum
14	1013.0	3rd-Ventricle
15	1225.0	4th-Ventricle
16	12711.0	Brain-Stem
17	3541.0	Left-Hippocampus
18	1073.0	Left-Amygdala
24	1201.0	CSF
26	493.0	Left-Accumbens-area
28	3972.0	Left-VentralDC
30	17.0	Left-vessel
31	523.0	Left-choroid-plexus
41	221395.8	Right-Cerebral-White-Matter
43	3368.0	Right-Lateral-Ventricle
44	495.0	Right-Inf-Lat-Vent
46	14196.0	Right-Cerebellum-White-Matter
47	54067.0	Right-Cerebellum-Cortex
49	7888.0	Right-Thalamus
50	3714.0	Right-Caudate
51	5213.0	Right-Putamen
52	2051.0	Right-Pallidum
53	3895.0	Right-Hippocampus
54	1461.0	Right-Amygdala
58	707.0	Right-Accumbens-area
60	3965.0	Right-VentralDC
62	9.0	Right-vessel
63	596.0	Right-choroid-plexus
80	3.0	non-WM-hypointensities
85	193.0	Optic-Chiasm
130	73621.0	AirCavity
165	878344.0	Skull
172	1577.0	Vermis
174	10775.0	Pons
257	179475.0	CSF-ExtraCerebral
258	1180447.0	Head-ExtraCerebral
1001	2234.2	ctx-lh-bankssts
1002	2929.0	ctx-lh-caudalanteriorcingulate
1003	8092.8	ctx-lh-caudalmiddlefrontal
1005	3854.9	ctx-lh-cuneus
1006	2036.9	ctx-lh-entorhinal
1007	10503.9	ctx-lh-fusiform
1008	10494.9	ctx-lh-inferiorparietal
1009	13909.5	ctx-lh-inferiortemporal
1010	2444.2	ctx-lh-isthmuscingulate
1011	13130.9	ctx-lh-lateraloccipital
1012	8597.6	ctx-lh-lateralorbitofrontal
1013	5865.1	ctx-lh-lingual
1014	5814.6	ctx-lh-medialorbitofrontal
1015	9954.1	ctx-lh-middletemporal
1016	2185.8	ctx-lh-parahippocampal
1017	5231.5	ctx-lh-paracentral
1018	5459.8	ctx-lh-parsopercularis
1019	2891.1	ctx-lh-parsorbitalis
1020	4461.4	ctx-lh-parstriangularis
1021	2371.4	ctx-lh-pericalcarine
1022	11628.4	ctx-lh-postcentral
1023	3164.4	ctx-lh-posteriorcingulate
1024	16587.8	ctx-lh-precentral
1025	9539.0	ctx-lh-precuneus
1026	2687.6	ctx-lh-rostralanteriorcingulate
1027	17256.1	ctx-lh-rostralmiddlefrontal
1028	25219.1	ctx-lh-superiorfrontal
1029	13665.4	ctx-lh-superiorparietal
1030	12712.4	ctx-lh-superiortemporal
1031	11540.2	ctx-lh-supramarginal
1032	1058.4	ctx-lh-frontalpole
1033	2650.6	ctx-lh-temporalpole
1034	1261.9	ctx-lh-transversetemporal
1035	8258.5	ctx-lh-insula
2001	2367.1	ctx-rh-bankssts
2002	2844.0	ctx-rh-caudalanteriorcingulate
2003	8216.5	ctx-rh-caudalmiddlefrontal
2005	4425.0	ctx-rh-cuneus
2006	1950.1	ctx-rh-entorhinal
2007	9146.2	ctx-rh-fusiform
2008	15289.9	ctx-rh-inferiorparietal
2009	13125.6	ctx-rh-inferiortemporal
2010	2225.6	ctx-rh-isthmuscingulate
2011	10554.1	ctx-rh-lateraloccipital
2012	8094.0	ctx-rh-lateralorbitofrontal
2013	7055.0	ctx-rh-lingual
2014	5746.6	ctx-rh-medialorbitofrontal
2015	12057.4	ctx-rh-middletemporal
2016	1733.6	ctx-rh-parahippocampal
2017	5299.9	ctx-rh-paracentral
2018	5300.1	ctx-rh-parsopercularis
2019	2865.6	ctx-rh-parsorbitalis
2020	5230.2	ctx-rh-parstriangularis
2021	2738.5	ctx-rh-pericalcarine
2022	11085.2	ctx-rh-postcentral
2023	3653.1	ctx-rh-posteriorcingulate
2024	14906.0	ctx-rh-precentral
2025	9987.5	ctx-rh-precuneus
2026	2503.1	ctx-rh-rostralanteriorcingulate
2027	18087.5	ctx-rh-rostralmiddlefrontal
2028	24641.9	ctx-rh-superiorfrontal
2029	13943.2	ctx-rh-superiorparietal
2030	12843.1	ctx-rh-superiortemporal
2031	8780.0	ctx-rh-supramarginal
2032	1174.0	ctx-rh-frontalpole
2033	2843.5	ctx-rh-temporalpole
2034	879.2	ctx-rh-transversetemporal
2035	6634.4	ctx-rh-insula
