index	volume-mm3	name
2	267949.8	Left-Cerebral-White-Matter
4	4564.0	Left-Lateral-Ventricle
5	152.0	Left-Inf-Lat-Vent
7	17634.0	Left-Cerebellum-White-Matter
8	49959.0	Left-Cerebellum-Cortex
10	10689.0	Left-Thalamus
11	3445.0	Left-Caudate
12	5416.0	Left-Putamen
13	2192.0	Left-Pallidum
14	616.0	3rd-Ventricle
15	1650.0	4th-Ventricle
16	13281.0	Brain-Stem
17	5201.0	Left-Hippocampus
18	1852.0	Left-Amygdala
24	1430.0	CSF
26	652.0	Left-Accumbens-area
28	5009.0	Left-VentralDC
30	6.0	Left-vessel
31	363.0	Left-choroid-plexus
41	266125.1	Right-Cerebral-White-Matter
43	4176.0	Right-Lateral-Ventricle
44	236.0	Right-Inf-Lat-Vent
46	16513.0	Right-Cerebellum-White-Matter
47	50256.0	Right-Cerebellum-Cortex
49	10115.0	Right-Thalamus
50	3559.0	Right-Caudate
51	5681.0	Right-Putamen
52	2450.0	Right-Pallidum
53	4824.0	Right-Hippocampus
54	2197.0	Right-Amygdala
58	713.0	Right-Accumbens-area
60	5085.0	Right-VentralDC
62	20.0	Right-vessel
63	312.0	Right-choroid-plexus
85	205.0	Optic-Chiasm
130	98285.0	AirCavity
165	1046317.0	Skull
172	2712.0	Vermis
174	11309.0	Pons
257	257265.5	CSF-ExtraCerebral
258	1212698.0	Head-ExtraCerebral
1001	2474.8	ctx-lh-bankssts
1002	2068.2	ctx-lh-caudalanteriorcingulate
1003	5725.4	ctx-lh-caudalmiddlefrontal
1005	3521.6	ctx-lh-cuneus
1006	1908.8	ctx-lh-entorhinal
1007	11725.9	ctx-lh-fusiform
1008	15187.1	ctx-lh-inferiorparietal
1009	10911.5	ctx-lh-inferiortemporal
1010	2455.9	ctx-lh-isthmuscingulate
1011	13999.0	ctx-lh-lateraloccipital
1012	7638.0	ctx-lh-lateralorbitofrontal
1013	7274.0	ctx-lh-lingual
1014	4624.0	ctx-lh-medialorbitofrontal
1015	11521.8	ctx-lh-middletemporal
1016	2613.2	ctx-lh-parahippocampal
1017	3676.1	ctx-lh-paracentral
1018	7210.8	ctx-lh-parsopercularis
1019	2500.2	ctx-lh-parsorbitalis
1020	4358.5	ctx-lh-parstriangularis
1021	2150.5	ctx-lh-pericalcarine
1022	10794.9	ctx-lh-postcentral
1023	3644.4	ctx-lh-posteriorcingulate
1024	14224.1	ctx-lh-precentral
1025	10981.0	ctx-lh-precuneus
1026	3248.5	ctx-lh-rostralanteriorcingulate
1027	15917.9	ctx-lh-rostralmiddlefrontal
1028	23045.9	ctx-lh-superiorfrontal
1029	14277.9	ctx-lh-superiorparietal
1030	14262.9	ctx-lh-superiortemporal
1031	13022.0	ctx-lh-supramarginal
1032	997.2	ctx-lh-frontalpole
1033	2510.1	ctx-lh-temporalpole
1034	1425.6	ctx-lh-transversetemporal
1035	6971.9	ctx-lh-insula
2001	2535.1	ctx-rh-bankssts
2002	1988.8	ctx-rh-caudalanteriorcingulate
2003	6299.8	ctx-rh-caudalmiddlefrontal
2005	3651.2	ctx-rh-cuneus
2006	1991.2	ctx-rh-entorhinal
2007	11232.9	ctx-rh-fusiform
2008	16544.4	ctx-rh-inferiorparietal
2009	11467.5	ctx-rh-inferiortemporal
2010	2165.0	ctx-rh-isthmuscingulate
2011	12811.9	ctx-rh-lateraloccipital
2012	7998.1	ctx-rh-lateralorbitofrontal
2013	7249.2	ctx-rh-lingual
2014	5987.0	ctx-rh-medialorbitofrontal
2015	14526.5	ctx-rh-middletemporal
2016	2027.6	ctx-rh-parahippocampal
2017	4304.6	ctx-rh-paracentral
2018	4171.1	ctx-rh-parsopercularis
2019	3115.2	ctx-rh-parsorbitalis
2020	4540.4	ctx-rh-parstriangularis
2021	2192.4	ctx-rh-pericalcarine
2022	8783.0	ctx-rh-postcentral
2023	3897.5	ctx-rh-posteriorcingulate
2024	13736.1	ctx-rh-precentral
2025	10599.4	ctx-rh-precuneus
2026	1668.0	ctx-rh-rostralanteriorcingulate
2027	19792.6	ctx-rh-rostralmiddlefrontal
2028	23174.9	ctx-rh-superiorfrontal
2029	13186.0	ctx-rh-superiorparietal
2030	14192.0	ctx-rh-superiortemporal
2031	12643.9	ctx-rh-supramarginal
2032	1176.2	ctx-rh-frontalpole
2033	2583.5	ctx-rh-temporalpole
2034	1172.9	ctx-rh-transversetemporal
2035	5933.1	ctx-rh-insula
